Crop,Soil Type,Temperature (°C),Rainfall (mm),Humidity (%)
Beetroots,Silty,27.7,1543,66
Pepper,Saline,15.6,1034,42
Jicama,Rocky,24.1,553,85
Taro,Peaty,32.9,1091,80
Chickpeas,Loamy,15.2,1283,86
Millet,Clay,15.8,1908,52
Apples,Clay,19.6,1156,57
Persian Melon,Saline,30.0,817,44
Pumpkins,Sandy,25.2,868,81
Cassava,Saline,25.1,779,58
Eucalyptus,Saline,26.8,1825,60
Garlic,Clay,15.6,988,74
Fennel,Sandy,16.1,1282,50
Edamame,Clay,28.1,1002,51
Pecans,Clay,31.0,945,51
Beetroots,Saline,15.0,1404,47
Zucchini,Peaty,20.0,1914,59
Acerola,Loamy,24.4,820,77
Breadfruit,Peaty,22.0,1184,79
Winter Melon,Sandy,16.7,1160,63
Buckwheat,Clay,21.6,1232,74
Garlic,Peaty,29.1,1557,45
Mulberries,Saline,25.3,1125,56
Agave,Peaty,27.3,1360,54
Ginseng,Peaty,16.9,1570,72
Rosemary,Rocky,32.5,1017,77
Nutmeg,Rocky,27.3,1137,74
Radish,Saline,25.7,588,56
Seaweed,Rocky,26.6,1985,48
Barley,Peaty,19.6,1361,73
Maize,Sandy,16.4,560,63
Soybeans,Peaty,21.5,1799,77
Wheat,Silty,34.7,1459,79
Wheat,Saline,24.0,1445,74
Ginger,Sandy,22.5,1965,46
Coffee,Sandy,31.3,1629,42
Bamboo Shoots,Loamy,23.3,1054,50
Zucchini,Saline,15.3,891,87
Pumpkins,Clay,29.3,1222,53
Cotton,Rocky,18.3,1546,82
Bananas,Sandy,18.8,1338,69
Artichoke,Silty,19.1,543,83
Pumpkins,Rocky,24.7,1529,51
Bananas,Silty,26.9,1265,78
Basil,Rocky,22.5,1744,57
Persian Melon,Loamy,30.6,1022,40
Cranberry,Loamy,35.0,1429,43
Blackberry,Rocky,34.9,1899,74
Coffee,Rocky,29.7,1476,61
Sweet Potatoes,Rocky,32.5,1910,78
Sesame,Rocky,15.2,1082,90
Sugarcane,Clay,16.5,506,85
Lavender,Loamy,32.0,1725,52
Quinoa,Silty,23.3,1351,64
Barley,Rocky,34.6,1048,46
Chard,Loamy,24.7,1519,40
Dill,Sandy,32.9,1633,71
Breadfruit,Rocky,24.1,1651,46
Cabbage,Peaty,31.8,1603,54
Lavender,Clay,25.5,640,45
Okra,Saline,33.1,1257,41
Cucumbers,Rocky,27.3,1704,64
Chillies,Peaty,19.6,1163,76
Taro,Silty,19.8,1769,54
Pepper,Silty,25.8,931,57
Chard,Saline,27.8,1468,73
Sisal,Peaty,34.2,998,57
Leeks,Silty,31.8,623,53
Cabbage,Peaty,23.0,1152,41
Artichoke,Peaty,23.3,1211,74
Cashew Nuts,Silty,29.7,1404,79
Cloves,Silty,17.5,723,86
Dates,Sandy,23.6,1945,65
Mustard,Silty,26.4,1992,78
Carrots,Saline,17.1,1701,60
Neem,Rocky,20.6,1309,53
Ginger,Clay,28.3,1067,74
Tea,Sandy,32.9,992,54
Taro,Rocky,31.4,1420,52
Tamarind,Sandy,33.7,1467,61
Barley,Sandy,34.5,1691,82
Neem,Silty,21.5,1034,71
Chard,Loamy,33.4,863,44
Asparagus,Rocky,33.9,1683,54
Pineapples,Peaty,15.6,1885,53
Coffee,Loamy,31.9,767,61
Lotus Root,Loamy,26.7,674,70
Turmeric,Saline,22.8,1947,70
Peas,Rocky,33.3,1110,45
Tobacco,Clay,23.5,651,54
Sunflower,Loamy,28.7,1438,76
Moringa,Saline,30.8,1932,53
Chillies,Rocky,17.9,1225,53
Sisal,Rocky,32.1,1034,40
Apples,Clay,30.4,1152,70
Lettuce,Rocky,17.9,1428,49
Parsnips,Rocky,21.9,1236,41
Hazelnuts,Loamy,34.3,1045,61
Pepper,Peaty,26.5,1549,49
Mustard Greens,Saline,33.0,1838,80
Sugarcane,Clay,26.0,765,70
Passion Fruits,Loamy,24.4,1734,60
Okra,Clay,20.4,1963,46
Coconut,Peaty,25.1,986,40
Peaches,Clay,34.2,865,72
Mustard Greens,Silty,22.2,545,55
Tobacco,Peaty,35.0,1309,40
Cassava,Silty,27.6,1422,53
Blackberry,Rocky,15.9,604,46
Rutabaga,Saline,22.3,1335,90
Cardamom,Silty,15.6,1295,78
Breadfruit,Sandy,25.0,1437,83
Tea,Rocky,33.8,1301,81
Snake Gourd,Loamy,19.5,1960,54
Winter Melon,Sandy,21.4,997,71
Coffee,Saline,27.2,1763,68
Eggplants,Clay,16.4,1896,42
Turnips,Rocky,19.6,1128,63
Spinach,Clay,34.9,576,48
Tomatoes,Silty,15.0,508,64
Tarragon,Rocky,25.4,784,77
Cowpeas,Sandy,21.8,1722,68
Mustard,Silty,22.8,727,81
Persimmons,Loamy,20.4,1095,70
Sugarcane,Peaty,18.8,939,61
Dragon Fruit,Peaty,34.0,973,49
Mangoes,Silty,24.9,1870,41
Jute,Rocky,26.5,1472,79
Maize,Sandy,33.1,1823,76
Cranberry,Saline,32.9,975,46
Tomatoes,Peaty,22.2,1487,53
